Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18630,"The Player of Games (Culture, #2)",Iain M. Banks,"Banks, Iain M.",,"=""0061053562""","=""9780061053566""",5,4.28,HarperCollins,Paperback,293,1997,1988,2020/09/08,2020/09/07,,,read,,,,1,0
2113260,"Shades of Grey (Shades of Grey, #1)",Jasper Fforde,"Fforde, Jasper",,"=""0670019631""","=""9780670019632""",3,4.15,Penguin Group Viking Adult,Hardcover,400,2009,2009,2020/09/08,2020/09/07,,,read,,,,1,0
2493,The Time Machine,H.G. Wells,"Wells, H.G.","Carlo Pagetti, Greg Bear","=""""","=""""",3,3.89,Signet Classics,Paperback,118,2002,1895,2020/09/08,2020/09/07,,,read,,,,1,0
77507,"Red Mars (Mars Trilogy, #1)",Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""0553560735""","=""9780553560732""",3,3.86,Spectra Books,Mass Market Paperback,572,1993,1992,2020/09/08,2020/09/07,,,read,,,,1,0
37173847,"Foundryside (The Founders Trilogy, #1)",Robert Jackson Bennett,"Bennett, Robert Jackson",,"=""1524760374""","=""""",5,4.18,Del Rey,Kindle Edition,501,2018,2018,2020/09/08,2020/09/07,,,read,,,,1,0
45309582,"Shorefall (The Founders Trilogy, #2)",Robert Jackson Bennett,"Bennett, Robert Jackson",,"=""""","=""""",5,4.06,Del Rey,Kindle Edition,493,2020,2020,2020/09/08,2020/09/07,,,read,,,,1,0
19161852,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",5,4.31,Orbit,Paperback,468,2015,2015,2020/09/08,2020/09/07,,,read,,,,1,0
26228034,"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",5,4.30,Orbit,Paperback,410,2016,2016,2020/09/08,2020/09/07,,,read,,,,1,0
31817749,"The Stone Sky (The Broken Earth, #3)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",5,4.35,Orbit,Paperback,416,2017,2017,2020/09/08,2020/09/07,,,read,,,,1,0
40855636,How Long 'til Black Future Month?,N.K. Jemisin,"Jemisin, N.K.",,"=""0316491349""","=""9780316491341""",4,4.28,Orbit,Hardcover,400,2018,2018,2020/09/08,2020/09/07,,,read,,,,1,0
33413556,The Gone World,Tom Sweterlitsch,"Sweterlitsch, Tom",,"=""0399167501""","=""9780399167508""",5,3.93,G.P. Putnam's Sons,Hardcover,400,2018,2018,2020/09/08,2020/09/07,,,read,,,,1,0
25499718,"Children of Time (Children of Time, #1)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1447273281""","=""9781447273288""",5,4.30,PanMacmillan,Hardcover,608,2015,2015,2020/09/08,2020/09/07,,,read,,,,1,0
40376072,"Children of Ruin (Children of Time, #2)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",Mel Hudson,"=""""","=""""",5,4.06,Macmillan Digital Audio,Audible Audio,,2019,2019,2020/09/08,2020/09/07,,,read,,,,1,0
66354,Flow: The Psychology of Optimal Experience,Mihály Csíkszentmihályi,"Csíkszentmihályi, Mihály",,"=""0060920432""","=""9780060920432""",3,4.11,Harper Perennial,Paperback,303,1990,1990,2020/09/08,2020/09/07,,,read,,,,1,0
16248196,The Art of Thinking Clearly,Rolf Dobelli,"Dobelli, Rolf",,"=""0062219685""","=""9780062219688""",3,3.85,Harper,Hardcover,384,2013,2011,2020/09/08,2020/09/07,,,read,,,,1,0
18085527,"Smart People Should Build Things: How to Restore Our Culture of Achievement, Build a Path for Entrepreneurs, and Create New Jobs in America",Andrew   Yang,"Yang, Andrew",,"=""0062292048""","=""9780062292049""",4,3.82,HarperBusiness,Hardcover,272,2014,2014,2020/09/08,2020/09/07,,,read,,,,1,0
4069,Man’s Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Isle Lasch, William J. Winslade, Harold S. Kushner","=""080701429X""","=""9780807014295""",3,4.37,Beacon Press,Paperback,165,2006,1946,2020/09/08,2020/09/07,,,read,,,,1,0
39288400,The Subtle Art of Not Giving a F*ck: A Counterintuitive approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""0062803239""","=""9780062803238""",5,3.89,HarperOne,Hardcover,224,,2016,2020/09/08,2020/09/07,,,read,,,,1,0
